동명,주차장수,면적,인구수,생활유동인구,자동차등록,대중교통,사업체현황
가락1동,20389,134,27365,1439303,11407,859733,8002
가락2동,14134,96,32406,988742,10988,491175,6202
가락본동,15406,113,26523,1945713,12638,217538,10612
가리봉동,2547,40,13091,285622,2769,200385,2384
가산동,50971,252,26179,3443524,20104,2054218,49144
가양1동,35065,470,34395,2747883,25200,1173541,19924
가양2동,7491,100,14109,608334,4028,56859,1810
가양3동,5546,50,15138,538809,6113,59505,2480
가회동,2914,54,4194,472392,1282,55345,1958
갈현1동,7253,97,22077,1064616,5515,1100656,4200
갈현2동,9873,96,28547,786970,7545,334799,4770
강일동,20968,226,32982,1861622,12836,337824,3130
개봉1동,10799,131,34560,1097818,11023,818300,4942
개봉2동,11098,80,31314,701487,9298,288150,3358
개봉3동,7237,81,20590,668132,5682,113717,2778
개포1동,5131,127,6489,463625,3599,116159,596
개포2동,4533,251,27945,843334,9948,369995,2430
개포4동,9321,149,23870,755588,8563,166896,6170
거여1동,5093,51,12614,479855,4131,321204,2530
거여2동,4890,53,18806,670182,5929,97047,2476
고덕1동,5925,173,24417,860227,8722,83325,2372
고덕2동,10658,201,22329,707809,7892,150323,2312
고척1동,11025,116,22657,963433,7891,297291,6598
고척2동,10112,102,27092,512508,8750,226263,4946
공덕동,13677,101,37792,1741854,11811,1184489,7944
공릉1동,14002,141,37277,1727087,11093,992457,8194
공릉2동,21713,682,41004,1597005,12122,649148,5374
공항동,23771,1087,31483,1809936,11752,439263,5692
광장동,16543,239,34834,1600485,11711,431588,4292
광희동,8616,74,6340,1786721,2443,1064943,20930
교남동,4927,35,10203,557848,2938,172180,1228
구로1동,8342,102,21166,576921,17323,98983,2262
구로2동,18277,176,31164,1429882,10725,714462,19754
구로3동,24883,102,25157,2603111,9527,2180252,23004
구로4동,5156,46,23745,847019,6584,150120,5254
구로5동,18855,103,31822,2047299,10322,637724,11186
구산동,11744,138,32464,932780,9398,193611,3816
구의1동,7765,56,22139,912952,6169,740871,5548
